id,state
724090,NJ
724674,CO
724509,KS
725469,IA
997853,DE
723721,AZ
744658,IL
749170,CA
722730,AZ
722125,MI
726320,MI
703260,AK
720289,GA
724033,VA
725055,MA
723540,OK
997687,NJ
749012,FL
703061,AK
720406,CA
724083,DE
997743,NJ
998185,TX
723094,NC
722039,FL
749179,CA
722193,NC
726700,WY
722279,AL
722544,TX
703860,AK
749058,TX
722985,CA
740020,MD
725707,UT
998197,CA
725245,OH
749168,CA
701046,AK
997708,VA
702674,AK
723114,VA
725956,CA
723291,KY
998199,FL
727497,MN
703855,AK
722194,IL
720982,NE
994973,WI
723921,CA
998277,FL
727446,MN
725185,NY
703887,AK
720351,IA
997302,MD
722346,MI
725816,UT
726466,MN
727825,WA
726704,WY
726086,ME
722447,TX
726187,ME
724754,UT
726676,MT
720344,IA
723640,NM
722192,TX
727554,MN
726671,MT
720742,TX
997314,DC
726438,WI
724505,KS
997291,LA
722202,TX
723660,TX
720994,MT
997356,FL
725490,IA
703500,AK
998172,AK
723990,PA
720306,MO
725015,NY
998429,AK
997301,GA
747930,FL
726519,SD
701793,AK
723544,OK
723086,VA
722185,GA
726766,MT
724953,CA
702795,AK
701338,AK
722196,GA
722319,LA
725155,NY
702960,AK
722355,MS
727504,MN
727925,WA
726596,MN
745090,CA
725533,NE
720602,SC
998168,NY
747390,TX
998006,NC
997983,NC
722657,TX
914130,FM
725625,NE
749073,AL
723980,MD
727506,MN
720776,MS
703335,AK
726798,MT
724127,WV
727755,MT
700638,AK
725494,IA
720165,CA
725750,UT
722616,TX
744865,NY
725094,MA
722116,FL
749099,KS
997736,WI
725075,MA
720977,WY
720381,AL
747770,FL
997296,MD
725627,NE
724045,MD
911904,HI
725067,MA
725089,CT
720714,GA
724337,IL
747920,SC
722453,TX
724676,CO
720674,GA
727650,ND
724721,UT
785430,VI
749109,NJ
723927,CA
998184,TX
722597,TX
703710,AK
720962,GA
725205,PA
723566,OK
726657,ME
722090,GA
724636,CO
725525,NE
